# Combined network parameters for connectome-constrained SNN models
# Adapted from Meissner-Bernard et al. (2025)
symbol,unit,description,value
# Simulation parameters
delta_t,ms,Time resolution of the simulation,1
duration,ms,Total simulation duration,1e3
# Dp topology
num_neurons,,Total number of neurons in the network,5000
num_assemblies,,Number of assemblies in the network,20
p_within,,Connection probability within assemblies,0.05
p_between,,Connection probability between assemblies,0.01
p_E,,Proportion of excitatory neurons,0.8
# Recurrent weights (log-normal)
w_mu_E,voxel,Mean (log-space) for excitatory synaptic weights,1.0
w_sigma_E,voxel,Standard deviation (log-space) for excitatory weights,0.2
w_mu_I,voxel,Mean (log-space) for inhibitory synaptic weights,2.39
w_sigma_I,voxel,Standard deviation (log-space) for inhibitory weights,0.2
# Feedforward inputs
num_mitral,,Number of mitral cells (feedforward inputs),1500
r_mitral,Hz,Firing rate of mitral cells (Poisson),6.0
p_feedforward,,Connection probability from mitral cells to Dp,0.02
# Feedforward weights (log-normal)
w_mu_FF,voxel,Mean (log-space) for feedforward synaptic weights,0.0
w_sigma_FF,voxel,Standard deviation (log-space) for feedforward weights,0.2
# Neuron physiology parameters (excitatory)
tau_mem_E,ms,Membrane time constant for excitatory neurons,85
tau_syn_E,ms,Synaptic time constant for excitatory connections,30
R_E,MOhm,Membrane resistance for excitatory neurons,740.74
U_rest_E,mV,Resting membrane potential for excitatory neurons,-60
theta_E,mV,Spike threshold voltage for excitatory neurons,-38
U_reset_E,mV,Reset voltage after spike for excitatory neurons,-60
# Neuron physiology parameters (inhibitory)
tau_mem_I,ms,Membrane time constant for inhibitory neurons,50
tau_syn_I,ms,Synaptic time constant for inhibitory connections,10
R_I,MOhm,Membrane resistance for inhibitory neurons,1111.11
U_rest_I,mV,Resting membrane potential for inhibitory neurons,-60
theta_I,mV,Spike threshold voltage for inhibitory neurons,-45
U_reset_I,mV,Reset voltage after spike for inhibitory neurons,-60
# Optimisable parameters
scaling_factor_E,pA/voxel,Scaling factor for excitatory weights,3e-3
scaling_factor_I,pA/voxel,Scaling factor for inhibitory weights,4e-3
scaling_factor_FF,pA/voxel,Scaling factor for feedforward weights,4e-3
# Hyperparameters
surrgrad_scale,,Scale for surrogate gradient fast sigmoid function,100
