# Adapted from Meissner-Bernard 2025
parameter,symbol,value,unit,description
simulation_timestep,delta_t,1,ms,Time resolution of the simulation
membrane_time_constant_exc,tau_mem_exc,85,ms,Membrane time constant for excitatory neurons
membrane_time_constant_inh,tau_mem_inh,50,ms,Membrane time constant for inhibitory neurons
synaptic_time_constant_exc,tau_syn_exc,30,ms,Synaptic time constant for excitatory connections
synaptic_time_constant_inh,tau_syn_inh,10,ms,Synaptic time constant for inhibitory connections
membrane_resistance_exc,R_exc,740.74,MOhm,Membrane resistance for excitatory neurons
membrane_resistance_inh,R_inh,1111.11,MOhm,Membrane resistance for inhibitory neurons
resting_potential_exc,U_rest_exc,-60,mV,Resting membrane potential for excitatory neurons
resting_potential_inh,U_rest_inh,-60,mV,Resting membrane potential for inhibitory neurons
spike_threshold_exc,theta_exc,-38,mV,Spike threshold voltage for excitatory neurons
spike_threshold_inh,theta_inh,-45,mV,Spike threshold voltage for inhibitory neurons
reset_potential_exc,U_reset_exc,-60,mV,Reset voltage after spike for excitatory neurons
reset_potential_inh,U_reset_inh,-60,mV,Reset voltage after spike for inhibitory neurons
refractory_period_exc,tau_ref_exc,8,ms,Refractory period for excitatory neurons
refractory_period_inh,tau_ref_inh,8,ms,Refractory period for inhibitory neurons
